,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
21,0.005,37,"[15, 15, 8]","[0, 0, 0]",90.0,2.614347081318,24,135,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,95.49,MB,381.97,MB,1.5,6,     58.16s ,58.16,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.05e-09,14.3536,-12551.092025925,1.632683007036e-08,5.2517970059658e-05,-9620.4987407859,5020.1530076138,-1135.6539384097,-6815.0924068615,6.0,0.0,Zn2_21
22,0.005,39,"[15, 15, 9]","[0, 0, 0]",90.0,2.614347081318,24,135,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,95.49,MB,381.97,MB,1.5,6,     55.17s ,55.17,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.91e-09,14.3273,-12551.087754555,2.312967593301e-08,0.0005532074255507,-9620.4831655342,5020.1403358167,-1135.6530711829,-6815.0924068615,6.0,0.0,Zn2_22
23,0.005,40,"[16, 16, 9]","[0, 0, 0]",90.0,2.614347081318,24,150,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,99.34,MB,397.37,MB,1.6,6,     58.76s ,58.76,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.87e-09,14.2324,-12551.09808971,1.768739924289e-08,0.00018775854580914,-9620.5347828075,5020.1894456971,-1135.6605334967,-6815.0924068615,6.0,0.0,Zn2_23
24,0.005,42,"[17, 17, 9]","[0, 0, 0]",90.0,2.614347081318,24,165,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,103.19,MB,412.77,MB,1.8,6,   1m 5.03s ,65.03,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.51e-09,14.2635,-12551.077647566,2.72113834506e-08,-4.08170751759e-06,-9620.5417581735,5020.2167189864,-1135.6601974361,-6815.0924068615,6.0,0.0,Zn2_24
25,0.005,44,"[17, 17, 10]","[0, 0, 0]",90.0,2.614347081318,24,198,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,111.66,MB,446.66,MB,2.0,6,   1m17.31s ,77.31,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.56e-09,14.2738,-12551.079121199,4.353821352096e-08,-3.1973375554455e-05,-9620.5260433274,5020.2005803231,-1135.6612193596,-6815.0924068615,6.0,0.0,Zn2_25
26,0.005,45,"[18, 18, 10]","[0, 0, 0]",90.0,2.614347081318,24,222,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,117.83,MB,471.3,MB,2.3,6,   1m30.34s ,90.34,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.83e-09,14.3648,-12551.093701466,4.353821352096e-08,-2.2449391346745e-05,-9620.4978999541,5020.1525978103,-1135.6559700116,-6815.0924068615,6.0,0.0,Zn2_26
27,0.005,48,"[19, 19, 10]","[0, 0, 0]",90.0,2.614347081318,24,240,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,122.45,MB,489.79,MB,2.4,6,   1m34.25s ,94.25,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.9e-09,14.3082,-12551.091691906,8.843699621445e-09,-0.00022952801940581,-9620.5774208684,5020.2420496551,-1135.6636843028,-6815.0924068615,6.0,0.0,Zn2_27
28,0.005,49,"[19, 19, 11]","[0, 0, 0]",90.0,2.614347081318,24,240,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,122.45,MB,489.79,MB,2.4,6,   1m33.76s ,93.76,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.27e-09,14.2958,-12551.094160658,1.36056917253e-08,4.761992103855e-05,-9620.5862509624,5020.2477418683,-1135.6632923228,-6815.0924068615,6.0,0.0,Zn2_28
29,0.005,1,"[1, 1, 1]","[0, 0, 0]",85.0,2.614347081318,24,1,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,56.28,MB,225.14,MB,0.3,8,      1.48s ,1.48,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.08e-10,10.7292,-12563.38467969,3.809593683084e-08,9.660041124963e-06,-9601.4192924733,4986.4214870232,-1133.2944770385,-6815.0924068615,8.0,0.0,Zn2_29
30,0.005,3,"[2, 2, 1]","[0, 0, 0]",85.0,2.614347081318,24,2,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,56.76,MB,227.02,MB,0.3,7,      1.85s ,1.85,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.83e-11,12.1397,-12549.547286708,4.489878269349e-09,-0.0124803649627,-9619.3274791671,5020.7505388455,-1135.8654591601,-6815.0924068615,7.0,0.0,Zn2_30
