Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
KSnS2,R-3m,-0.913176,-0.758929,0.0,0.0,4,3,-0.701401,-0.69821,N.A.,N.A.,None,H-465
KZnAs,P-6m2,-0.473786,-0.547686,0.19,0.91,3,3,-0.473786,-0.547686,Indirect,Indirect,None,H-932
KZnSb,P-6m2,-0.402218,-0.491692,0.34,1.1,3,3,-0.402218,-0.491692,Indirect,Indirect,None,H-2242
K,Fm-3m,0.000254,0.000741,0.07,0.07,1,1,0.000254,0.000741,Indirect,Indirect,0.0,H-111
K,Im-3m,0.001139,0.001411,0.06,0.06,1,1,0.001139,0.001411,Indirect,Indirect,0.0,H-263
K,Cmca,9.1e-05,0.0,0.0,0.0,8,1,9.1e-05,0.0,N.A.,N.A.,0.0,H-350
K,P4/mmm,0.104435,0.106611,0.0,0.0,1,1,0.104435,0.106611,N.A.,N.A.,0.0,H-355
Kr,Fm-3m,0.000222,0.0,7.18,8.57,1,1,0.000222,0.0,Direct,Direct,None,H-67
Kr,Cmcm,0.0,0.000195,7.16,8.54,2,1,0.0,0.000195,Direct,Direct,None,H-75
LaAg,Pm-3m,-0.265541,-0.286726,0.0,0.0,2,2,-0.265541,-0.286726,N.A.,N.A.,-0.1752,H-3275
LaAs,Fm-3m,-1.573578,-1.841636,0.09,0.02,2,2,-1.573578,-1.841636,Indirect,Indirect,None,H-11417
LaAs,P4/mmm,-1.197516,-1.371732,0.0,0.0,2,2,-1.197516,-1.371732,N.A.,N.A.,None,H-9938
LaBi,Fm-3m,-1.071261,-1.388513,0.0,0.0,2,2,-1.071261,-1.388513,N.A.,N.A.,None,H-9735
LaC2,I4/mmm,-0.170401,-0.225656,0.0,0.0,3,2,-0.170401,-0.225656,N.A.,N.A.,-0.2819,H-2109
LaCd,Pm-3m,-0.339923,-0.391621,0.0,0.0,2,2,-0.339923,-0.391621,N.A.,N.A.,None,H-5323
LaGa2,Cmmm,-0.704799,-0.524096,0.0,0.0,3,2,-0.704799,-0.524096,N.A.,N.A.,None,H-3765
LaH2,Fm-3m,-0.719128,-0.73872,0.01,0.0,3,2,-0.653821,-0.771023,Indirect,N.A.,-0.6953,H-1488
LaMg,Pm-3m,-0.120473,-0.184712,0.0,0.06,2,2,-0.120473,-0.184712,N.A.,Indirect,-0.051,H-10758
LaN,Fm-3m,-1.436766,-1.374323,0.02,0.82,2,2,-1.314456,-1.446672,Direct,Direct,-1.5719,H-10547
LaN,Pm-3m,-0.848872,-0.725736,0.0,0.0,2,2,-0.726562,-0.798084,N.A.,N.A.,-1.5719,H-7017
LaP,Fm-3m,-1.749413,-1.904614,0.17,0.12,2,2,-1.576917,-1.806119,Indirect,Indirect,None,H-10617
LaS,Fm-3m,-2.382068,-2.430451,0.0,0.0,2,2,-2.163823,-2.37174,N.A.,N.A.,-2.3633,H-13195
LaSb,P4/mmm,-1.053265,-1.253074,0.0,0.0,2,2,-1.053265,-1.253074,N.A.,N.A.,None,H-9875
LaSe,Fm-3m,-1.996469,-2.233312,0.0,0.0,2,2,-1.996469,-2.233312,N.A.,N.A.,-1.8647,H-2626
LaTe,Fm-3m,-1.592212,-1.832178,0.0,0.0,2,2,-1.592212,-1.832178,N.A.,N.A.,-1.5611,H-6906
LaTl,Pm-3m,-0.42587,-0.602131,0.0,0.0,2,2,-0.42587,-0.602131,N.A.,N.A.,None,H-4830
LaZn,Pm-3m,-0.321866,-0.354031,0.0,0.0,2,2,-0.321866,-0.354031,N.A.,N.A.,None,H-10105
La,Fm-3m,0.007527,0.0,0.0,0.02,1,1,0.007527,0.0,N.A.,Indirect,0.0,H-229
Li2B,P-3m1,0.357947,0.387726,0.0,0.0,3,2,0.357947,0.387726,N.A.,N.A.,None,H-1038
Li2Pd,Cmmm,-0.379962,-0.456689,0.0,0.0,3,2,-0.379962,-0.456689,N.A.,N.A.,None,H-8462
Li2Pt,Cmmm,-0.545816,-0.593214,0.0,0.0,3,2,-0.545816,-0.593214,N.A.,N.A.,None,H-906
Li2S,Fm-3m,-1.495355,-1.531117,3.43,4.32,3,2,-1.349859,-1.491977,Indirect,Indirect,-1.5423,H-8928
Li2Se,Fm-3m,-1.272537,-1.436355,2.97,3.82,3,2,-1.272537,-1.436355,Indirect,Indirect,-1.3877,H-759
Li2Te,None,-1.045364,-1.214512,2.54,3.19,3,2,-1.045364,-1.214512,Indirect,Indirect,-1.2286,H-6002
LiAg,Pm-3m,-0.225301,-0.205535,0.0,0.0,2,2,-0.225301,-0.205535,N.A.,N.A.,None,H-7419
LiAl2Ir,Fm-3m,-0.733349,-0.849669,0.0,0.22,4,3,-0.733349,-0.849669,N.A.,Indirect,None,H-726
LiAlGe,F-43m,-0.299922,-0.363547,0.05,0.51,3,3,-0.299922,-0.363547,Indirect,Indirect,None,H-6064
LiAlSi,F-43m,-0.223021,-0.270536,0.11,0.57,3,3,-0.223021,-0.270536,Indirect,Indirect,None,H-6027
LiBi,P4/mmm,-0.387047,-0.440242,0.0,0.0,2,2,-0.387047,-0.440242,N.A.,N.A.,None,H-12011
LiBr,Fm-3m,-1.803444,-1.776137,4.93,6.23,2,2,-1.54827,-1.723232,Indirect,Indirect,-1.8198,H-10012
LiCl,Fm-3m,-2.116341,-2.004553,6.29,7.79,2,2,-1.816079,-1.950419,Indirect,Direct,-2.1157,H-4350
LiCu2Si,Fm-3m,-0.227706,-0.239768,0.0,0.0,4,3,-0.227706,-0.239768,N.A.,N.A.,None,H-498
LiGaSi,F-43m,-0.168536,-0.047844,0.18,0.65,3,3,-0.168536,-0.047844,Indirect,Indirect,None,H-5670
LiHPd,P4/mmm,-0.198027,-0.250212,0.0,0.0,3,3,-0.165374,-0.266363,N.A.,N.A.,None,H-11923
LiH,Fm-3m,-0.481916,-0.472082,2.97,3.95,2,2,-0.432935,-0.496309,Direct,Direct,-0.472,H-597
LiHg,Pm-3m,-0.384409,-0.386909,0.04,0.05,2,2,-0.38175,-0.41778,Indirect,Indirect,None,H-9242
LiI,Fm-3m,-1.346776,-1.357589,4.26,5.34,2,2,-1.201162,-1.352338,Indirect,Indirect,-1.4158,H-7742
LiInGe,F-43m,-0.333536,-0.304433,0.0,0.0,3,3,-0.333536,-0.304433,N.A.,Direct,None,H-7984
LiMgAs,F-43m,-0.753139,-0.884866,1.37,1.96,3,3,-0.753139,-0.884866,Indirect,Indirect,None,H-5746
LiMgBi,F-43m,-0.430105,-0.549904,0.41,0.95,3,3,-0.430105,-0.549904,Direct,Direct,None,H-2333
LiMgP,F-43m,-0.534458,-0.561024,0.0,0.6,3,3,-0.41946,-0.49536,Indirect,Indirect,None,H-8182
LiPd,Amm2,-0.440567,-0.541024,0.0,0.0,2,2,-0.440567,-0.541024,N.A.,N.A.,None,H-11502
LiPd,Pm-3m,-0.418666,-0.546837,0.0,0.3,2,2,-0.418666,-0.546837,N.A.,Indirect,None,H-11650
LiRhO2,R-3m,-1.534008,-1.767105,1.35,3.32,4,3,-1.246985,-1.696752,Indirect,Indirect,None,H-711
LiS,Fm-3m,-0.732933,-0.478278,0.0,0.0,2,2,-0.514688,-0.419567,N.A.,N.A.,None,H-4632
LiSnPd2,Fm-3m,-0.63878,-0.809606,0.0,0.0,4,3,-0.645249,-0.807598,N.A.,N.A.,None,H-423
LiTbSe2,R-3m,-1.698318,-1.943892,1.55,2.27,4,3,-1.698318,-1.943892,Indirect,Indirect,None,H-644
LiTl,Pm-3m,-0.2304,-0.281936,0.0,0.0,2,2,-0.2304,-0.281936,N.A.,N.A.,-0.2775,H-1132
LiZnAs,F-43m,-0.526476,-0.647252,0.53,1.4,3,3,-0.526476,-0.647252,Direct,Direct,None,H-7932
Li,P2/m,0.043147,0.0,0.0,0.0,12,1,0.043147,0.0,N.A.,N.A.,0.0,H-349
LuAg2,I4/mmm,-0.34799,-0.336162,0.0,0.0,3,2,-0.34799,-0.336162,N.A.,N.A.,-0.2653,H-13086
LuAs,Fm-3m,-1.466639,-1.706139,0.0,0.03,2,2,-1.466639,-1.706139,N.A.,Indirect,None,H-7067
LuC2,I4/mmm,-0.194488,-0.228591,0.0,0.0,3,2,-0.194488,-0.228591,N.A.,N.A.,-0.2767,H-10580
LuCd,Pm-3m,-0.305028,-0.403711,0.0,0.0,2,2,-0.305028,-0.403711,N.A.,N.A.,None,H-1160
LuH2,Fm-3m,-0.763149,-0.747164,0.0,0.1,3,2,-0.697842,-0.779467,N.A.,Indirect,None,H-8237
LuHg,Pm-3m,-0.475791,-0.601789,0.0,0.0,2,2,-0.473133,-0.63266,N.A.,N.A.,None,H-2078
LuIr,Pm-3m,-0.970759,-1.13473,0.0,0.0,2,2,-0.970759,-1.13473,N.A.,N.A.,-0.8861,H-6232
LuMg,Pm-3m,-0.042183,-0.060319,0.0,0.0,2,2,-0.042183,-0.060319,N.A.,N.A.,None,H-12265
LuN,Fm-3m,-2.003649,-1.984868,0.26,1.12,2,2,-1.881339,-2.057217,Indirect,Indirect,None,H-4487
LuNiBi,F-43m,-0.650539,-0.812025,0.0,0.22,3,3,-0.650539,-0.812025,N.A.,Indirect,None,H-11302
LuRh,Pm-3m,-0.993759,-1.220753,0.0,0.0,2,2,-0.993759,-1.220753,N.A.,N.A.,None,H-6196
LuSbPt,F-43m,-1.200087,-1.437292,0.0,0.27,3,3,-1.200087,-1.437292,N.A.,Direct,None,H-11094
LuSb,Fm-3m,-1.016316,-1.268844,0.11,0.0,2,2,-1.016316,-1.268844,Indirect,N.A.,None,H-6120
LuSe,Fm-3m,-1.575343,-1.778042,0.0,0.0,2,2,-1.575343,-1.778042,N.A.,N.A.,None,H-6476
LuSi2,P6/mmm,-0.426328,-0.425411,0.0,0.0,3,2,-0.426328,-0.425411,N.A.,N.A.,None,H-513
LuZn,Pm-3m,-0.356785,-0.370836,0.0,0.0,2,2,-0.356785,-0.370836,N.A.,N.A.,None,H-11424
Lu,P63/mmc,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-227
Lu,R-3m,0.012316,0.031524,0.0,0.0,3,1,0.012316,0.031524,N.A.,N.A.,0.0,H-64
Mg2Ge,Fm-3m,-0.27731,-0.323172,0.16,0.61,3,2,-0.27731,-0.323172,Indirect,Indirect,-0.3599,H-5977
Mg2Pb,Fm-3m,-0.062742,-0.148899,0.0,0.15,3,2,-0.062742,-0.148899,N.A.,Indirect,-0.1717,H-12335
Mg2Rh,I4/mmm,-0.409329,-0.549402,0.0,0.0,3,2,-0.409329,-0.549402,N.A.,N.A.,None,H-5520
Mg2Sn,Fm-3m,-0.183282,-0.247721,0.1,0.17,3,2,-0.191907,-0.245044,Indirect,Indirect,None,H-12325
MgAg,Pm-3m,-0.252928,-0.235141,0.0,0.0,2,2,-0.252928,-0.235141,N.A.,N.A.,-0.0455,H-8346
MgB2,P6/mmm,-0.135894,-0.126077,0.0,0.0,3,2,-0.135894,-0.126077,N.A.,N.A.,-0.3723,H-13045
MgBr2,P-1,-1.848228,-1.741652,4.4,5.58,3,2,-1.507996,-1.671112,Direct,Direct,-1.8172,H-1340
MgCl2,P-4m2,-2.179153,-1.961442,4.98,6.35,3,2,-1.778803,-1.889263,Indirect,Indirect,-2.2259,H-11099
MgCl2,P-3m1,-2.260047,-2.049304,5.63,7.01,3,2,-1.859697,-1.977125,Indirect,Indirect,-2.2259,H-1882
MgCl2,R-3m,-2.260198,-2.048476,5.63,7.02,3,2,-1.859848,-1.976297,Indirect,Indirect,-2.2259,H-8337
MgCuSn,F-43m,0.086658,0.047973,0.0,0.0,3,3,0.078033,0.05065,N.A.,N.A.,None,H-11002
MgHg,Pm-3m,-0.230095,-0.21912,0.0,0.0,2,2,-0.227436,-0.249992,N.A.,N.A.,None,H-6824
MgI2,C2/m,-1.256902,-1.194178,3.61,4.56,3,2,-1.06275,-1.187176,Indirect,Indirect,-1.2783,H-10353
MgIn,P4/mmm,-0.09788,-0.120538,0.0,0.0,2,2,-0.09788,-0.120538,N.A.,N.A.,None,H-1519
MgO,Fm-3m,-3.014018,-3.15013,4.49,6.19,2,2,-2.726996,-3.079778,Direct,Direct,-3.1176,H-7534
MgPd,Pm-3m,-0.726882,-0.871728,0.0,0.01,2,2,-0.726882,-0.871728,N.A.,Indirect,None,H-13065
MgRh,Pm-3m,-0.444617,-0.626434,0.0,0.13,2,2,-0.444617,-0.626434,N.A.,Indirect,None,H-4867
MgS,Fm-3m,-1.64948,-1.641532,2.75,3.72,2,2,-1.431236,-1.582822,Indirect,Indirect,-1.8034,H-10426
MgS,F-43m,-1.634318,-1.620131,3.38,4.43,2,2,-1.416074,-1.56142,Direct,Direct,-1.8034,H-3396
MgSbPt,F-43m,-0.709639,-0.839962,0.0,0.0,3,3,-0.709639,-0.839962,N.A.,N.A.,None,H-11684
MgSe,Fm-3m,-1.240553,-1.414431,1.81,2.59,2,2,-1.240553,-1.414431,Indirect,Indirect,-1.4137,H-2706
MgSe,F-43m,-1.255057,-1.426523,2.54,3.5,2,2,-1.255057,-1.426523,Direct,Direct,-1.4137,H-6488
MgSnAu,F-43m,-0.441042,-0.453461,0.0,0.0,3,3,-0.449667,-0.450784,N.A.,N.A.,None,H-7475
MgTe,Fm-3m,-0.812548,-0.973798,0.42,1.03,2,2,-0.812548,-0.973798,Indirect,Indirect,-1.0841,H-1844
MgTl,Pm-3m,-0.037387,-0.146942,0.0,0.0,2,2,-0.037387,-0.146942,N.A.,N.A.,-0.2472,H-11902
Mg,Im-3m,0.028878,0.027435,0.0,0.0,1,1,0.028878,0.027435,N.A.,N.A.,0.0,H-148
Mg,Cmcm,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-168
Mg,R-3m,0.013446,0.017199,0.0,0.0,1,1,0.013446,0.017199,N.A.,N.A.,0.0,H-207
Mn2Au,I4/mmm,0.184597,-1.422518,0.0,0.0,3,2,0.184597,-1.422518,N.A.,N.A.,None,H-1755
MnAu2,I4/mmm,-0.113998,-1.060059,0.0,0.0,3,2,-0.113998,-1.060059,N.A.,N.A.,None,H-9829
MnAu,Pm-3m,-0.010602,-1.447853,0.0,0.0,2,2,-0.010602,-1.447853,N.A.,N.A.,-0.2622,H-8185
MnB2,P6/mmm,-0.291311,-0.752099,0.0,0.0,3,2,-0.291311,-0.752099,N.A.,N.A.,-0.272,H-1744
MnCl2,R-3m,-1.480087,-2.387615,1.77,4.68,3,2,-1.079738,-2.315436,Indirect,Indirect,-1.6652,H-9214
MnCuSb,F-43m,0.104682,-0.955761,0.0,0.0,3,3,0.104682,-0.955761,N.A.,N.A.,None,H-6460
MnGaIr,F-43m,0.081297,-0.698916,0.0,0.0,3,3,0.081297,-0.698916,N.A.,N.A.,None,H-5967
MnGePd2,Fm-3m,-0.310415,-1.167459,0.0,0.0,4,3,-0.310415,-1.167459,N.A.,N.A.,None,H-449
MnHg,P4/mmm,0.340031,-1.092841,0.0,0.0,2,2,0.342689,-1.123712,N.A.,N.A.,None,H-10367
MnN,I4/mmm,-0.335612,-1.217591,0.0,0.0,2,2,-0.213302,-1.28994,N.A.,N.A.,None,H-10292
MnNiSb,F-43m,-0.203653,-1.198222,0.0,0.0,3,3,-0.203653,-1.198222,N.A.,N.A.,None,H-11484
MnNiSb,F-43m,0.114867,-0.629752,0.0,0.0,3,3,0.114867,-0.629752,N.A.,N.A.,None,H-2878
MnO,Fm-3m,-1.996267,-2.920715,0.1,1.91,2,2,-1.709245,-2.850362,Indirect,Indirect,-1.9963,H-975
MnPd,Pm-3m,-0.176212,-1.752616,0.0,0.0,2,2,-0.176212,-1.752616,N.A.,N.A.,None,H-10029
MnPt,P4/mmm,-0.337019,-1.859874,0.0,0.0,2,2,-0.337019,-1.859874,N.A.,N.A.,None,H-11138
MnPt,P4/mmm,-0.337066,-1.859834,0.0,0.0,2,2,-0.337066,-1.859834,N.A.,N.A.,None,H-6846
MnRh,Pm-3m,-0.167625,-1.583305,0.0,0.0,2,2,-0.167625,-1.583305,N.A.,N.A.,None,H-9500
MnS,Fm-3m,-0.694287,-2.235703,0.0,0.37,2,2,-0.476042,-2.176992,N.A.,Indirect,-1.11,H-11916
MnS,F-43m,-0.694376,-2.324002,0.0,1.85,2,2,-0.476132,-2.265291,N.A.,Indirect,-1.11,H-12176
MnSbRh,F-43m,-0.25487,-1.338697,0.0,0.0,3,3,-0.25487,-1.338697,N.A.,N.A.,None,H-3547
MnSe,F-43m,-0.34645,-2.129604,0.03,1.6,2,2,-0.34645,-2.129604,Indirect,Direct,-0.889,H-10811
MnSe,Fm-3m,-0.334004,-2.085847,0.0,0.69,2,2,-0.334004,-2.085847,N.A.,Indirect,-0.889,H-2358
MnSiNi,R3m,-0.235598,-0.938718,0.0,0.0,3,3,-0.235598,-0.938718,N.A.,N.A.,None,H-9200
MnSnAu,F-43m,-0.038224,-1.035566,0.0,0.0,3,3,-0.046849,-1.032889,N.A.,N.A.,None,H-7365
MnSnIr,F-43m,0.313344,-0.618008,0.0,0.0,3,3,0.304719,-0.61533,N.A.,N.A.,None,H-7648
MnSnPt,F-43m,-0.068325,-0.896686,0.0,0.0,3,3,-0.07695,-0.894009,N.A.,N.A.,None,H-8655
MnTePd,F-43m,0.012337,-1.191316,0.0,0.01,3,3,0.012337,-1.191316,N.A.,Direct,None,H-7868
MnTe,F-43m,-0.045734,-1.807474,0.0,1.58,2,2,-0.045734,-1.807474,N.A.,Indirect,-0.5616,H-11608
MnTe,Fm-3m,-0.026352,-1.714267,0.0,0.24,2,2,-0.026352,-1.714267,N.A.,Indirect,-0.5616,H-1661
MnV,Pm-3m,-0.289809,-1.07874,0.0,0.0,2,2,-0.289809,-1.07874,N.A.,N.A.,None,H-4612
Mn,Fm-3m,0.083032,0.0,0.0,0.0,1,1,0.083032,0.0,N.A.,N.A.,0.0,H-66
Mo2C,Amm2,0.517067,0.625526,0.0,0.0,3,2,0.517067,0.625526,N.A.,N.A.,-0.1836,H-7941
MoC,P-6m2,-0.124644,-0.160293,0.0,0.0,2,2,-0.124644,-0.160293,N.A.,N.A.,-0.052,H-3293
MoC,Fm-3m,0.169005,0.222289,0.0,0.06,2,2,0.169005,0.222289,N.A.,Indirect,-0.052,H-9880
MoN,F-43m,-0.20923,-0.004081,0.0,0.0,2,2,-0.08692,-0.07643,N.A.,N.A.,None,H-13057
MoN,Fm-3m,-0.15495,0.122235,0.0,0.0,2,2,-0.03264,0.049887,N.A.,N.A.,None,H-1367
MoP,P-6m2,-0.833167,-0.842605,0.0,0.0,2,2,-0.660671,-0.74411,N.A.,N.A.,None,H-4640
MoPt2,Immm,-0.375623,-0.380837,0.0,0.0,3,2,-0.375623,-0.380837,N.A.,N.A.,None,H-8898
MoS2,R-3m,-0.895235,-0.686016,0.0,0.0,3,2,-0.604243,-0.607734,N.A.,N.A.,-0.954,H-7488
Mo,Fm-3m,0.421653,0.588328,0.0,0.0,1,1,0.421653,0.588328,N.A.,N.A.,0.0,H-127
Mo,Im-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-280
N,P213,3.556457,4.161197,0.0,0.0,4,1,3.556457,4.161197,N.A.,N.A.,None,H-158
N,P63/mmc,0.004178,0.00367,6.99,9.3,4,1,0.004178,0.00367,Indirect,Indirect,None,H-244
N,P42/mnm,0.0,0.0,6.97,9.24,4,1,0.0,0.0,Indirect,Indirect,None,H-63
Na2O,Fm-3m,-1.502227,-1.466598,1.88,3.26,3,2,-1.21718,-1.3786,Indirect,Indirect,-1.444,H-1397
Na2Se,Fm-3m,-1.165327,-1.226265,2.01,2.91,3,2,-1.071628,-1.185169,Direct,Direct,-1.1853,H-6508
NaBi,P4/mmm,-0.384208,-0.365957,0.0,0.0,2,2,-0.313933,-0.335134,N.A.,N.A.,-0.3291,H-1351
NaBr,Fm-3m,-1.908701,-1.808331,4.07,5.27,2,2,-1.583252,-1.724604,Direct,Direct,-1.8716,H-2874
NaCl,Pm-3m,-2.024932,-1.835088,3.98,5.28,2,2,-1.654395,-1.750132,Indirect,Indirect,-2.1305,H-12821
NaCl,Fm-3m,-2.179493,-1.995487,5.0,6.36,2,2,-1.808956,-1.910531,Direct,Direct,-2.1305,H-3555
NaF,Fm-3m,-2.987752,-2.980086,6.09,8.24,2,2,-2.71727,-2.84676,Direct,Direct,-2.9817,H-7504
NaH,Pm-3m,-0.17146,-0.08873,1.03,1.87,2,2,-0.052205,-0.082135,Indirect,Indirect,-0.2922,H-11810
NaH,Fm-3m,-0.328917,-0.247125,3.91,4.84,2,2,-0.209662,-0.24053,Indirect,Indirect,-0.2922,H-12788
Na,R-3m,0.000336,0.000994,0.0,0.0,3,1,0.000336,0.000994,N.A.,N.A.,0.0,H-202
Na,Cmcm,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-223
NbAu2,P6/mmm,-0.149281,-0.128004,0.0,0.0,3,2,-0.149281,-0.128004,N.A.,N.A.,-0.1385,H-2563
NbC,Fm-3m,-0.553209,-0.673288,0.0,0.0,2,2,-0.553209,-0.673288,N.A.,N.A.,-0.7198,H-3239
NbIr,P4/mmm,-0.549242,-0.673648,0.0,0.0,2,2,-0.549242,-0.673648,N.A.,N.A.,None,H-5499
NbN,P-6m2,-1.29017,-1.285924,0.02,0.03,2,2,-1.167859,-1.358273,Indirect,Direct,-1.2183,H-10638
NbN,Fm-3m,-1.11445,-1.022812,0.0,0.0,2,2,-0.99214,-1.095161,N.A.,N.A.,-1.2183,H-7100
NbO,Fm-3m,-1.53903,-1.583111,0.0,0.0,2,2,-1.252008,-1.512759,N.A.,N.A.,-2.1747,H-7219
NbRh,P4/mmm,-0.424599,-0.555367,0.0,0.0,2,2,-0.424599,-0.555367,N.A.,N.A.,None,H-13033
NbRu,P4/mmm,-0.194225,-0.327571,0.0,0.0,2,2,-0.194225,-0.327571,N.A.,N.A.,None,H-4886
NbS2,R-3m,-1.308822,-1.198304,0.0,0.0,3,2,-1.01783,-1.120023,N.A.,N.A.,None,H-1869
NbSbRh,F-43m,-0.341481,-0.574016,0.0,0.0,3,3,-0.341481,-0.574016,N.A.,N.A.,None,H-2694
NbSbRu,F-43m,-0.408676,-0.688882,0.36,1.2,3,3,-0.408676,-0.688882,Indirect,Indirect,None,H-5683
Nb,Fm-3m,0.323087,0.338526,0.0,0.0,1,1,0.323087,0.338526,N.A.,N.A.,0.0,H-260
Nb,Im-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-338
NdAg,Pm-3m,-0.266968,-0.271208,0.0,0.0,2,2,-0.266968,-0.271208,N.A.,N.A.,-0.2052,H-6746
NdAl,Pm-3m,-0.352086,-0.471098,0.0,0.0,2,2,-0.352086,-0.471098,N.A.,N.A.,None,H-2501
NdAs,Fm-3m,-1.512577,-1.773817,0.0,0.0,2,2,-1.512577,-1.773817,N.A.,Direct,None,H-7562
NdAu,Pm-3m,-0.773136,-0.791116,0.0,0.0,2,2,-0.773136,-0.791116,N.A.,N.A.,-0.7276,H-12970
NdBiPd,F-43m,-0.947292,-1.205572,0.07,0.36,3,3,-0.947292,-1.205572,Direct,Indirect,None,H-11645
NdC2,I4/mmm,-0.129403,-0.192514,0.0,0.0,3,2,-0.129403,-0.192514,N.A.,N.A.,-0.3026,H-5591
NdCd,Pm-3m,-0.32834,-0.37,0.0,0.0,2,2,-0.32834,-0.37,N.A.,N.A.,None,H-7731
NdGa3,Pm-3m,-0.510441,-0.273299,0.0,0.0,4,2,-0.510441,-0.273299,N.A.,N.A.,None,H-897
NdH2,Fm-3m,-0.713626,-0.7285,0.15,0.09,3,2,-0.648319,-0.760803,Indirect,Indirect,-0.6982,H-1497
NdHg2,C2/m,-0.444493,-0.50479,0.0,0.0,3,2,-0.440948,-0.545952,N.A.,N.A.,None,H-12879
NdMg,Pm-3m,-0.113427,-0.155689,0.04,0.0,2,2,-0.113427,-0.155689,Indirect,N.A.,None,H-8090
NdN,Fm-3m,-1.484967,-1.459652,0.24,0.54,2,2,-1.362657,-1.532001,Indirect,Indirect,None,H-1888
NdP,Fm-3m,-1.713192,-1.864412,0.0,0.14,2,2,-1.540696,-1.765917,N.A.,Indirect,None,H-8125
NdSb,P4/mmm,-0.936678,-1.139188,0.0,0.0,2,2,-0.936678,-1.139188,N.A.,N.A.,None,H-2536
NdSb,Fm-3m,-1.19339,-1.467797,0.0,0.0,2,2,-1.19339,-1.467797,N.A.,N.A.,None,H-2754
NdTe,Fm-3m,-1.421615,-1.673119,0.0,0.0,2,2,-1.421615,-1.673119,N.A.,N.A.,-1.5611,H-4726
NdTl,Pm-3m,-0.393936,-0.511037,0.0,0.0,2,2,-0.393936,-0.511037,N.A.,N.A.,None,H-11185
NdZn,Pm-3m,-0.318128,-0.354064,0.0,0.0,2,2,-0.318128,-0.354064,N.A.,N.A.,None,H-5945
Nd,Im-3m,0.133532,0.111467,0.0,0.0,1,1,0.133532,0.111467,N.A.,N.A.,0.0,H-129
Nd,Fm-3m,0.008652,0.0,0.0,0.02,1,1,0.008652,0.0,N.A.,Indirect,0.0,H-43
Ne,Fm-3m,0.0,0.0,11.58,14.33,1,1,0.0,0.0,Direct,Direct,None,H-290
NiBr2,R-3m,-0.739196,-1.057036,0.74,3.33,3,2,-0.398964,-0.986496,Indirect,Indirect,-0.7321,H-6060
NiC,Fm-3m,1.090843,1.152811,0.0,0.0,2,2,1.090843,1.152811,N.A.,N.A.,None,H-3207
NiH,Fm-3m,-0.107566,0.001626,0.0,0.17,2,2,-0.058586,-0.022601,N.A.,Indirect,None,H-12545
NiN,F-43m,0.318487,0.913108,0.0,0.0,2,2,0.440797,0.840759,N.A.,N.A.,None,H-11759
NiO,R-3m,-1.242158,-1.289947,2.65,4.55,2,2,-0.955135,-1.219595,Indirect,Indirect,-1.2422,H-2611
NiTe2,P-1,-0.223682,-0.270571,0.0,0.0,3,2,-0.223682,-0.270571,N.A.,N.A.,None,H-8588
Ni,P63/mmc,0.026925,0.0,0.0,0.0,2,1,0.026925,0.0,N.A.,N.A.,0.0,H-160
Ni,Fm-3m,0.0,0.036774,0.0,0.0,1,1,0.0,0.036774,N.A.,N.A.,0.0,H-307
Ni,Im-3m,0.093469,0.167137,0.0,0.0,1,1,0.093469,0.167137,N.A.,N.A.,0.0,H-359
NpAs,Fm-3m,-0.730667,None,0.0,0.0,2,2,-0.730667,None,N.A.,N.A.,None,H-5863
NpB2,P6/mmm,-0.454048,None,0.0,0.0,3,2,-0.454048,None,N.A.,N.A.,None,H-1414
NpBi,Fm-3m,0.053537,None,0.0,0.0,2,2,0.053537,None,N.A.,N.A.,None,H-10482
NpC,Fm-3m,0.087208,None,0.0,0.03,2,2,0.087208,None,N.A.,Indirect,None,H-9228
NpN,Fm-3m,-1.303182,None,0.0,0.0,2,2,-1.180872,None,N.A.,N.A.,None,H-10238
NpO2,Fm-3m,-3.008854,None,2.7,5.23,3,2,-2.626158,None,Indirect,Indirect,-3.7096,H-7608
NpP,Fm-3m,-1.089771,None,0.0,0.0,2,2,-0.917274,None,N.A.,N.A.,None,H-11901
NpSb,P4/mmm,-0.219104,None,0.0,0.0,2,2,-0.219104,None,N.A.,N.A.,None,H-7563
NpSe,Fm-3m,-1.08309,None,0.0,0.0,2,2,-1.08309,None,N.A.,N.A.,None,H-12691
NpTe,Fm-3m,-0.587999,None,0.0,0.0,2,2,-0.587999,None,N.A.,N.A.,None,H-11355
O,C2/m,0.0,0.0,1.39,2.33,8,1,0.0,0.0,Indirect,Indirect,None,H-248
O,C2/m,0.108141,0.183527,0.0,0.0,2,1,0.108141,0.183527,N.A.,N.A.,None,H-254
