Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
Br,Cmca,0.0,0.0,1.33,2.48,4,1,0.0,0.0,Indirect,Indirect,None,H-301
Br,Fm-3m,0.663897,1.016935,0.0,0.0,1,1,0.663897,1.016935,N.A.,N.A.,None,H-78
CIN,R3m,0.361797,0.626779,4.46,5.74,3,3,0.540413,0.582047,Indirect,Indirect,None,H-5849
C,Pnma,0.281869,0.229318,4.28,5.71,16,1,0.281869,0.229318,Indirect,Indirect,0.0,H-103
C,P63/mmc,0.137106,0.074019,4.53,5.68,8,1,0.137106,0.074019,Indirect,Indirect,0.0,H-245
C,I4/mmm,0.324526,0.279411,2.48,3.88,4,1,0.324526,0.279411,Indirect,Indirect,0.0,H-258
C,Pm-3m,2.75196,3.023672,0.0,0.0,1,1,2.75196,3.023672,N.A.,N.A.,0.0,H-279
C,Cmmm,0.931281,0.983133,0.0,0.73,8,1,0.931281,0.983133,N.A.,Indirect,0.0,H-282
C,Cmmm,0.498081,0.498039,0.0,0.8,8,1,0.498081,0.498039,Indirect,Indirect,0.0,H-325
C,Im-3m,0.754962,0.748282,3.01,4.33,8,1,0.754962,0.748282,Indirect,Indirect,0.0,H-356
C,P63/mmc,0.133849,0.069558,4.42,5.6,12,1,0.133849,0.069558,Indirect,Indirect,0.0,H-57
C,P63mc,0.0,0.0,0.0,1.38,12,1,0.0,0.0,Direct,Direct,0.0,H-81
C,C2/m,0.289953,0.238349,3.49,4.65,8,1,0.289953,0.238349,Indirect,Indirect,0.0,H-92
Ca2N,R-3m,-0.839015,-0.709019,0.03,0.07,3,2,-0.757475,-0.757252,Indirect,Indirect,None,H-12774
CaBiAu,F-43m,-0.734959,-0.772809,0.16,0.0,3,3,-0.734959,-0.772809,Indirect,Direct,None,H-1389
CaCd,Pm-3m,-0.366945,-0.325728,0.0,0.0,2,2,-0.366945,-0.325728,N.A.,N.A.,None,H-6806
CaF2,P4/mmm,-3.948655,-4.001874,5.14,7.5,3,2,-3.681712,-3.865203,Indirect,Indirect,-4.2424,H-3435
CaGe2,R-3m,-0.488398,-0.498471,0.0,0.0,3,2,-0.488398,-0.498471,N.A.,N.A.,None,H-12460
CaHg2,Cmmm,-0.462149,-0.46691,0.0,0.0,3,2,-0.458604,-0.508072,N.A.,N.A.,None,H-3136
CaHg,Pm-3m,-0.562962,-0.531343,0.0,0.0,2,2,-0.560304,-0.562215,N.A.,N.A.,None,H-6788
CaI2,P-3m1,-1.837216,-1.802104,3.84,5.01,3,2,-1.643064,-1.795102,Indirect,Indirect,-1.8531,H-11812
CaO2,I4/mmm,-2.278065,-2.334796,2.77,4.98,3,2,-1.895368,-2.240993,Indirect,Indirect,-2.2549,H-1009
CaO,Fm-3m,-3.249629,-3.339655,3.66,5.31,2,2,-2.962606,-3.269302,Indirect,Indirect,-3.2902,H-7729
CaS,Fm-3m,-2.369129,-2.379162,2.4,3.43,2,2,-2.150884,-2.320451,Indirect,Indirect,-2.4615,H-12422
CaSe,F-43m,-1.768658,-1.949465,3.16,4.04,2,2,-1.768658,-1.949465,Indirect,Indirect,-1.908,H-11777
CaSe,Fm-3m,-2.026715,-2.226997,2.08,3.04,2,2,-2.026715,-2.226997,Indirect,Indirect,-1.908,H-6826
CaSi2,C2/m,-0.363019,-0.35346,0.0,0.0,3,2,-0.363019,-0.35346,N.A.,N.A.,-0.5217,H-3428
CaTe,Pm-3m,-1.340069,-1.513399,0.0,0.43,2,2,-1.340069,-1.513399,Direct,Direct,-1.8915,H-11870
CaTe,Fm-3m,-1.650122,-1.850982,1.57,2.37,2,2,-1.650122,-1.850982,Indirect,Indirect,-1.8915,H-2950
CaTl,Pm-3m,-0.445594,-0.469424,0.0,0.0,2,2,-0.445594,-0.469424,N.A.,N.A.,None,H-864
Ca,Pm-3m,0.392536,0.419126,0.0,0.0,1,1,0.392536,0.419126,N.A.,N.A.,0.0,H-225
Ca,Fm-3m,0.0,0.0,0.01,0.0,1,1,0.0,0.0,Indirect,N.A.,0.0,H-329
Ca,Im-3m,0.017353,0.020223,0.0,0.0,1,1,0.017353,0.020223,N.A.,N.A.,0.0,H-49
